Title,URL,Deadline,Call For,Opportunity Status,Estimated Funding,Source,Year
"DEVELOPMENT, MAINTENANCE AND ENHANCEMENT OF EARLY HEARING DETECTION AND INTERVENT",https://reporter.nih.gov/project-details/1UR3DD000795-01,Not specified,Research Grant,Awarded,"$156,338.00",NIH RePORTER,2023
Improving the HIV testing experience for YMSM,https://reporter.nih.gov/project-details/1R43HD088319-01,Not specified,Research Grant,Awarded,"$224,821.00",NIH RePORTER,2023
"Friends, Family, and Food: Interactive Virtual Environments for Children with Food Allergies",https://reporter.nih.gov/project-details/2R42HD075524-02,Not specified,Research Grant,Awarded,"$588,221.00",NIH RePORTER,2023
The Right Steps: A Virtual Reality Application/Intervention to Improve Wayfinding in Mild Cognitive Impairment (RightSteps),https://reporter.nih.gov/project-details/1R43AG065022-01,Not specified,Research Grant,Awarded,"$147,835.00",NIH RePORTER,2023
Simulated Exposure Trainer (SET-VR): Implementing Targeted Experiential Training with a Virtual Patient,https://reporter.nih.gov/project-details/5R41MH131229-02,Not specified,Research Grant,Awarded,"$234,159.00",NIH RePORTER,2023
Tough Talks: A Disclosure Intervention for HIV+ YMSM,https://reporter.nih.gov/project-details/5R44MH104102-05,Not specified,Research Grant,Awarded,"$352,289.00",NIH RePORTER,2023
Digital Star: HIV Prevention for Youth in Mental Health Treatment,https://reporter.nih.gov/project-details/5R44MH102140-05,Not specified,Research Grant,Awarded,"$599,993.00",NIH RePORTER,2023
Disseminable Evidence-Based Treatment for the Dental Office: Virtual Exposure Tools for Dental Fear - neVR Fear the Dentist,https://reporter.nih.gov/project-details/4R42DE030040-02,Not specified,Research Grant,Awarded,"$808,724.00",NIH RePORTER,2023
Anchors Away: A Family-Focused CBT Skills App (Anchors App),https://reporter.nih.gov/project-details/2R44MH098470-03,Not specified,Research Grant,Awarded,"$517,548.00",NIH RePORTER,2023
Clutter-GO: Facilitating Delivery and Adherence in Evidence-Based Treatment for Hoarding Disorder via a Patient-Provider Digital Health Tool,https://reporter.nih.gov/project-details/1R41MH138146-01,Not specified,Research Grant,Awarded,"$386,266.00",NIH RePORTER,2023
EXPERIMENTAL MODEL OF PRETERM LABOR,https://reporter.nih.gov/project-details/2P51RR000166-46,Not specified,Research Grant,Awarded,"$104,647.00",NIH RePORTER,2023
Toll-Like Receptor Antagonism as a Potential Treatment for Preterm Labor,https://reporter.nih.gov/project-details/5K08AI067910-04,Not specified,Research Grant,Awarded,"$126,306.00",NIH RePORTER,2023
Targeted Inhibition of Interleukin-1 beta to Prevent Preterm Birth,https://reporter.nih.gov/project-details/5R01HD098713-05,Not specified,Research Grant,Awarded,"$755,520.00",NIH RePORTER,2023
JAK-STAT Control of Zika Virus-Induced Fetal Injury,https://reporter.nih.gov/project-details/5R01AI143265-03,Not specified,Research Grant,Awarded,"$864,353.00",NIH RePORTER,2023
Influenza pathogenesis in pregnancy,https://reporter.nih.gov/project-details/5R01AI164588-04,Not specified,Research Grant,Awarded,"$843,733.00",NIH RePORTER,2023
TOLL-LIKE RECEPTOR ANATAGONISM AS TREATMENT FOR PRETERM LABOR,https://reporter.nih.gov/project-details/5P51RR000166-48,Not specified,Research Grant,Awarded,"$315,187.00",NIH RePORTER,2023
Sofosbuvir Protection of the Fetal Brain from Zika Virus Infection in Pregnancy,https://reporter.nih.gov/project-details/1R21AI144938-01,Not specified,Research Grant,Awarded,"$264,500.00",NIH RePORTER,2023
Reproductive and Child Health StaRR Program,https://reporter.nih.gov/project-details/1R38AI181011-01A1,Not specified,Research Grant,Awarded,"$402,731.00",NIH RePORTER,2023
EXPERIMENTAL MODEL FOR CHORIOAMNIIONITIS AND PRETERM LABOR,https://reporter.nih.gov/project-details/5P51RR000166-49,Not specified,Research Grant,Awarded,"$155,086.00",NIH RePORTER,2023
NONHUMAN PRIMATE MODEL OF STRETCH-INDUCED PRETERM LABOR,https://reporter.nih.gov/project-details/5P51RR000166-50,Not specified,Research Grant,Awarded,"$156,634.00",NIH RePORTER,2023
Impact of Zika Virus Infection on Fetal Innate and Adaptive Immunity,https://reporter.nih.gov/project-details/1R01AI176777-01A1,Not specified,Research Grant,Awarded,"$848,689.00",NIH RePORTER,2023
MAD STRUCTURAL DETERMINATION OF 9 ARNINO DERIVATIVE OF ANTICANCER AGENT DACA,https://reporter.nih.gov/project-details/5U41RR007707-09,Not specified,Research Grant,Awarded,"$6,861.00",NIH RePORTER,2023
1 LOT OF FURNITURE,https://reporter.nih.gov/project-details/N01LM095576-000,Not specified,Research Grant,Awarded,"$35,935.00",NIH RePORTER,2023
REPRESENTS THE CURRENT SUMMARIZED STATUS OF THIS ORDER,https://reporter.nih.gov/project-details/N01LM095575-000,Not specified,Research Grant,Awarded,"$144,464.00",NIH RePORTER,2023
REMOTE OXIDATION VIA BIFUNCTIONAL FE PORPHYRIN COMPLEXES,https://reporter.nih.gov/project-details/1F32GM011613-01,Not specified,Research Grant,Awarded,"$18,996.00",NIH RePORTER,2023
WOMEN'S SOCIOECONOMIC DEVELOPMENT AND HEALTH,https://reporter.nih.gov/project-details/5R01HD037402-02,Not specified,Research Grant,Awarded,"$224,832.00",NIH RePORTER,2023
Elucidating the Molecular and Functional Diversity of Axial Motor Neurons,https://reporter.nih.gov/project-details/1F32HD116654-01,Not specified,Research Grant,Awarded,"$76,756.00",NIH RePORTER,2023
Obesity and cardiac Risk in American Indian Children,https://reporter.nih.gov/project-details/5K23HL068827-02,Not specified,Research Grant,Awarded,"$115,955.00",NIH RePORTER,2023
"Healthy Children, Strong Families and Supportive Communities Intervention",https://reporter.nih.gov/project-details/5U01HL087381-05,Not specified,Research Grant,Awarded,"$548,338.00",NIH RePORTER,2023
"Healthy children, Strong families: American Indian Communities Preventing Obesity",https://reporter.nih.gov/project-details/4R01HL114912-05,Not specified,Research Grant,Awarded,"$681,311.00",NIH RePORTER,2023
UW Center of Collaborative Research and Education Initiatives for Health Equity,https://reporter.nih.gov/project-details/5P60MD003428-04,Not specified,Research Grant,Awarded,"$1,397,151.00",NIH RePORTER,2023
Center for American Indian and Rural Health Equity,https://reporter.nih.gov/project-details/5P20GM104417-07,Not specified,Research Grant,Awarded,"$2,134,491.00",NIH RePORTER,2023
Center for Health Equity in Rural Montana,https://reporter.nih.gov/project-details/5P20GM104417-03,Not specified,Research Grant,Awarded,"$2,101,366.00",NIH RePORTER,2023
Center for American Indian and Rural Health Equity (CAIRHE),https://reporter.nih.gov/project-details/1P30GM154593-01,Not specified,Research Grant,Awarded,"$1,087,500.00",NIH RePORTER,2023
"Administrative Core, Center for American Indian and Rural Health Equity (CAIRHE)",https://reporter.nih.gov/project-details/1P30GM154593-01,Not specified,Research Grant,Awarded,"$773,749.00",NIH RePORTER,2023
"Administrative Core, Center for American Indian and Rural Health Equity",https://reporter.nih.gov/project-details/5P20GM104417-07,Not specified,Research Grant,Awarded,"$1,017,520.00",NIH RePORTER,2023
Drug Free Alton Coalition,https://reporter.nih.gov/project-details/5H79SP017207-09,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
LATENT EBV DNA REPLICATION: SEPARATION OF VARIOUS INTERMEDIATES BY PFGE,https://reporter.nih.gov/project-details/2S07RR005896-08,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
LATENT EBV DNA REPLICATION: SEPARATION OF VARIOUS INTERMEDICATED BY PFGE,https://reporter.nih.gov/project-details/2S07RR005896-06,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
YEAST MORPHOGENESIS/ACTIN CYTOSKELETON,https://reporter.nih.gov/project-details/2S07RR007002-25,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
Analysis of the Roles of Genes and Chromosome Rearrangements in Genomic..,https://reporter.nih.gov/project-details/3U54CA143924-04S2,Not specified,Research Grant,Awarded,"$9,446.00",NIH RePORTER,2023
MOLECULAR ANALYSIS OF THE YEAST ACTIN CYTOSKELETON,https://reporter.nih.gov/project-details/5R01GM045288-05,Not specified,Research Grant,Awarded,"$132,583.00",NIH RePORTER,2023
ECTOPIC TRANSPLANTATION OF INVASIVE TROPHOBLAST,https://reporter.nih.gov/project-details/5F32HD008575-02,Not specified,Research Grant,Awarded,"$49,412.00",NIH RePORTER,2023
Pathogenesis of Subtype IE Venezuelan Equine Encephalitis Virus,https://reporter.nih.gov/project-details/5K08AI077796-02,Not specified,Research Grant,Awarded,"$118,905.00",NIH RePORTER,2023
AUTOMATED DIELECTRIC CHARACTERIZATION OF BACTERIAL AERO,https://reporter.nih.gov/project-details/1R03RR001898-01A1,Not specified,Research Grant,Awarded,"$18,617.00",NIH RePORTER,2023
Leveraging machine learning to improve risk prediction for chemotherapy inducedneuropathy,https://reporter.nih.gov/project-details/5R01CA249127-05,Not specified,Research Grant,Awarded,"$617,580.00",NIH RePORTER,2023
Community Outreach and Engagement,https://reporter.nih.gov/project-details/2P30CA051008-26,Not specified,Research Grant,Awarded,"$108,174.00",NIH RePORTER,2023
DREAMS - Admin Core,https://reporter.nih.gov/project-details/5P30DK092924-14,Not specified,Research Grant,Awarded,"$129,894.00",NIH RePORTER,2023
DREAMS - Enrichment Program,https://reporter.nih.gov/project-details/2P30DK092924-11,Not specified,Research Grant,Awarded,"$60,194.00",NIH RePORTER,2023
Leveraging machine learning to improve risk prediction for chemotherapy induced neuropathy,https://reporter.nih.gov/project-details/1R01CA249127-01,Not specified,Research Grant,Awarded,"$663,447.00",NIH RePORTER,2023
DREAMS - Pilot and Feasibility Program,https://reporter.nih.gov/project-details/5P30DK092924-12,Not specified,Research Grant,Awarded,"$101,194.00",NIH RePORTER,2023
DREAMS - Translational Research Core - Health Equity & Action Translational (HEAT),https://reporter.nih.gov/project-details/5P30DK092924-13,Not specified,Research Grant,Awarded,"$130,866.00",NIH RePORTER,2023
Impact of Medicare Part D on Cancer and Diabetes Disparities among Dual Enrollees,https://reporter.nih.gov/project-details/5R01AG032249-02,Not specified,Research Grant,Awarded,"$455,938.00",NIH RePORTER,2023
Genetic Regulators of Human Melanocytic Neoplasia,https://reporter.nih.gov/project-details/5K08AR052204-03,Not specified,Research Grant,Awarded,"$19,835.00",NIH RePORTER,2023
2016 Bioanalytical Sensors Gordon Research Conference & Gordon Research Seminar,https://reporter.nih.gov/project-details/1R13EB022399-01,Not specified,Research Grant,Awarded,"$10,000.00",NIH RePORTER,2023
Optimizing Strategies to Overcome Kidney Xenograft Rejection,https://reporter.nih.gov/project-details/5R01AI126322-03,Not specified,Research Grant,Awarded,"$925,625.00",NIH RePORTER,2023
Costimulation Blockade-Based Strategies for Tolerance Induction,https://reporter.nih.gov/project-details/5U19AI051731-18,Not specified,Research Grant,Awarded,"$928,572.00",NIH RePORTER,2023
Strategies to Optimize Pig-to Primate Kidney Xenograft Survival,https://reporter.nih.gov/project-details/5U01AI126322-10,Not specified,Research Grant,Awarded,"$1,442,779.00",NIH RePORTER,2023
Cellular Strategies for Tolerance Induction,https://reporter.nih.gov/project-details/5U19AI051731-17,Not specified,Research Grant,Awarded,"$1,010,759.00",NIH RePORTER,2023
Advancing Transplantation Tolerance in Nonhuman Primates,https://reporter.nih.gov/project-details/5U19AI174966-03,Not specified,Research Grant,Awarded,"$113,432.00",NIH RePORTER,2023
Imaging Costimulation Blockade Resistant Rejection,https://reporter.nih.gov/project-details/5U01AI132904-02,Not specified,Research Grant,Awarded,"$463,942.00",NIH RePORTER,2023
Promoting Kidney Transplantation Tolerance Through Novel Immunomodulation and Cellular Therapy,https://reporter.nih.gov/project-details/5U19AI174966-03,Not specified,Research Grant,Awarded,"$769,707.00",NIH RePORTER,2023
Development of Personalized Assistive Technology to Improve Dementia Care at Home,https://reporter.nih.gov/project-details/5R44AG042206-03,Not specified,Research Grant,Awarded,"$490,505.00",NIH RePORTER,2023
Neoantigen-specific T cells in a novel cutaneous squamous cell carcinoma model,https://reporter.nih.gov/project-details/1F30CA257622-01A1,Not specified,Research Grant,Awarded,"$52,694.00",NIH RePORTER,2023
Vision Changes in Diabetes,https://reporter.nih.gov/project-details/5R01EY002271-25,Not specified,Research Grant,Awarded,"$384,154.00",NIH RePORTER,2023
MYOPIA DEVELOPMENT IN CHILDREN,https://reporter.nih.gov/project-details/5R01EY008893-03,Not specified,Research Grant,Awarded,"$563,356.00",NIH RePORTER,2023
VISION CHANGES IN DIABETICS,https://reporter.nih.gov/project-details/5R01EY002271-20,Not specified,Research Grant,Awarded,"$299,756.00",NIH RePORTER,2023
EARLY VISION IN DIABETICS,https://reporter.nih.gov/project-details/5R01EY002271-08,Not specified,Research Grant,Awarded,"$158,596.00",NIH RePORTER,2023
SHORT TERM TRAINING FOR OPTOMETRY STUDENTS,https://reporter.nih.gov/project-details/5T35EY007139-07,Not specified,Research Grant,Awarded,"$55,287.00",NIH RePORTER,2023
Training Program in Vision Science,https://reporter.nih.gov/project-details/5T32EY007043-28,Not specified,Research Grant,Awarded,"$553,011.00",NIH RePORTER,2023
PHYSIOLOGICAL OPTICS,https://reporter.nih.gov/project-details/2T32EY007043-13,Not specified,Research Grant,Awarded,"$113,887.00",NIH RePORTER,2023
TRAINING PROGRAM FOR PHYSIOLOGICAL OPTICS,https://reporter.nih.gov/project-details/5T32EY007043-10,Not specified,Research Grant,Awarded,"$175,125.00",NIH RePORTER,2023
BIOCHEMICAL REGULATION OF GENE ACTIVATION IN T CELLS,https://reporter.nih.gov/project-details/1K11AI000768-01A1,Not specified,Research Grant,Awarded,"$63,240.00",NIH RePORTER,2023
REGULATING INTERLEUKIN 2 RECEPTOR CHAIN EXPRESSION BY TRANSCRIPTION FACTOR RKB,https://reporter.nih.gov/project-details/2M01RR000042-36,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
PREVALENCE OF INSULIN RESISTANCE IN PATIENTS WHO HAD CHILDHOOD DERMATOMYOSITIS,https://reporter.nih.gov/project-details/2M01RR000042-36,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
"ARKANSAS NUTRITION, PHYSICAL AND OBESITY PROGRAM",https://reporter.nih.gov/project-details/5U58DP001416-05,Not specified,Research Grant,Awarded,"$515,885.00",NIH RePORTER,2023
RESIDENCY TRAINING IN GIM AND/OR GP,https://reporter.nih.gov/project-details/5D28PE015250-05,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
RESIDENCY TRAINING IN GENERAL INTRNL MED AND/OR GEN PED,https://reporter.nih.gov/project-details/5D28PE015250-04,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
DEVELOPMENT OF IONIC CONDUCTANCES IN SKELETAL MUSCLE,https://reporter.nih.gov/project-details/5F32NS008567-02,Not specified,Research Grant,Awarded,"$21,000.00",NIH RePORTER,2023
MOLECULAR MODULATION OF BRAIN CA 2+ CHANNELS,https://reporter.nih.gov/project-details/7R01NS034423-05,Not specified,Research Grant,Awarded,"$19,800.00",NIH RePORTER,2023
STRAIN ACROSS TRIANGULAR FIBROCARTILAGE COMPLEX & TENSILE LOADING,https://reporter.nih.gov/project-details/2S07RR005429-30,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
Establishing the Role of Genetic Variation in Vitamin D Regulated Gene Expression in MS Pathogenesis and Severity,https://reporter.nih.gov/project-details/1F31NS113537-01A1,Not specified,Research Grant,Awarded,"$40,987.00",NIH RePORTER,2023
Importance and function of highly conserved substrates of the Legionella pneumophila Type II Secretion System for Infection,https://reporter.nih.gov/project-details/1F31AI172194-01A1,Not specified,Research Grant,Awarded,"$47,694.00",NIH RePORTER,2023
Block Grants for Community Mental Health Services,https://reporter.nih.gov/project-details/2B09SM010034-10,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
Integrating network and intrinsic changes in the GnRH neuron control of ovulation,https://reporter.nih.gov/project-details/5F30HD085721-02,Not specified,Research Grant,Awarded,"$38,911.00",NIH RePORTER,2023
COLLABORATION FOR IMPROVING STANDARIZED CANCER TNM STAGING SYSTEM TNM AND PROMOTI,https://reporter.nih.gov/project-details/5U58DP001818-05,Not specified,Research Grant,Awarded,"$150,000.00",NIH RePORTER,2023
Development of Gd(III)-Pt(II) MR Probes for Tandem Detection & Chemotherapy,https://reporter.nih.gov/project-details/5F31CA239426-03,Not specified,Research Grant,Awarded,"$32,248.00",NIH RePORTER,2023
MICA:  THE MENTALLY ILL CHEMICAL ABUSER,https://reporter.nih.gov/project-details/1H13SP002625-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
NITRIC OXIDE MEDIATION OF HIPPOCAMPAL NICOTINE EFFECTS,https://reporter.nih.gov/project-details/5R03DA011800-02,Not specified,Research Grant,Awarded,"$73,832.00",NIH RePORTER,2023
ONTOGENETIC PATTERNING IN VITTAT GROUP OF EPICAUTA,https://reporter.nih.gov/project-details/3S06GM008153-27S2,Not specified,Research Grant,Awarded,"$30,384.00",NIH RePORTER,2023
Sustained cysteamine delivery by nanobarrier contact lenses to replace 8xdaily drops with a daily disposable lens,https://reporter.nih.gov/project-details/1R43EY036347-01,Not specified,Research Grant,Awarded,"$332,179.00",NIH RePORTER,2023
Sustained Triumvirate Delivery by Contact Lens for Post-Surgical Management,https://reporter.nih.gov/project-details/1R43EY033591-01,Not specified,Research Grant,Awarded,"$305,500.00",NIH RePORTER,2023
Parent youth teamwork in pediatric asthma management,https://reporter.nih.gov/project-details/1R03HD039767-01A1,Not specified,Research Grant,Awarded,"$73,000.00",NIH RePORTER,2023
Identifying molecular drivers of tumor heterogeneity in pancreatic cancer,https://reporter.nih.gov/project-details/1F31CA224792-01A1,Not specified,Research Grant,Awarded,"$34,578.00",NIH RePORTER,2023
TRANSCRIPTION FACTOR BINDING NUCLEOSOMES: CAUSE & EFFECT,https://reporter.nih.gov/project-details/1F32GM015861-01,Not specified,Research Grant,Awarded,"$21,600.00",NIH RePORTER,2023
TRANSCRIPTION FACTOR BINDING NUCLEOSOMES--CAUSE & EFFECT,https://reporter.nih.gov/project-details/5F32GM015861-03,Not specified,Research Grant,Awarded,"$7,900.00",NIH RePORTER,2023
Molecular Mechanisms of Age-related Muscle Loss,https://reporter.nih.gov/project-details/5I01BX000976-05,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
Molecular Pathogenesis of Skeletal Muscle Atrophy,https://reporter.nih.gov/project-details/5R01AR059115-05,Not specified,Research Grant,Awarded,"$285,768.00",NIH RePORTER,2023
Prevention and Treatment of Skeletal Muscle Atrophy,https://reporter.nih.gov/project-details/5I01RX001477-02,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
Novel Signaling Pathways Underlying Skeletal Muscle Atrophy,https://reporter.nih.gov/project-details/7R01AG060637-04,Not specified,Research Grant,Awarded,"$526,819.00",NIH RePORTER,2023
Development of Novel Small Molecule Therapies for Skeletal Muscle Atrophy,https://reporter.nih.gov/project-details/1R41AG047684-01,Not specified,Research Grant,Awarded,"$225,000.00",NIH RePORTER,2023
REGULATION OF APOPTOSIS IN OSTEOBLAST-LIKE CELLS,https://reporter.nih.gov/project-details/5F32DE005748-03,Not specified,Research Grant,Awarded,"$53,944.00",NIH RePORTER,2023
EXPLORING AND EXPANDING NEW PREVENTION SCIENCE RESEARCH,https://reporter.nih.gov/project-details/1U24DA012390-01,Not specified,Research Grant,Awarded,"$100,000.00",NIH RePORTER,2023
RESEARCH INFRASTRUCTURE AT MORGAN STATE UNIVERSITY,https://reporter.nih.gov/project-details/1P20RR011606-01,Not specified,Research Grant,Awarded,"$70,333.00",NIH RePORTER,2023
BIOMEDICAL RESEARCH INFRASTURE AT MORGAN STATE,https://reporter.nih.gov/project-details/5P20RR011606-04,Not specified,Research Grant,Awarded,"$841,089.00",NIH RePORTER,2023
Morgan State University Biomedical Research Center(RCMI),https://reporter.nih.gov/project-details/5G12RR017581-02,Not specified,Research Grant,Awarded,"$1,572,391.00",NIH RePORTER,2023
HBCU RESEARCH SCIENTIST AWARD,https://reporter.nih.gov/project-details/3U24DA012390-01S1,Not specified,Research Grant,Awarded,"$298,956.00",NIH RePORTER,2023
MORGAN STATE UNIVERSITY BIOMED RES CTR(RCMI): ADMINISTRATIVE UNIT,https://reporter.nih.gov/project-details/5G12RR017581-03,Not specified,Research Grant,Awarded,"$225,520.00",NIH RePORTER,2023
Novel Mechanism for Myc-Induced Apoptosis,https://reporter.nih.gov/project-details/5F31CA165728-02,Not specified,Research Grant,Awarded,"$26,592.00",NIH RePORTER,2023
RESIDENCY TRAINING IN THE GENERAL PRACTICE OF DENTISTRY,https://reporter.nih.gov/project-details/1D30DH013031-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
AGE AND SOCIAL CONTEXT EFFECTS ON NARRATIVE RECALL,https://reporter.nih.gov/project-details/1R03AG018166-01,Not specified,Research Grant,Awarded,"$75,000.00",NIH RePORTER,2023
Giant Macrophage-like Cells as a blood-based Biomarker for Lung Cancer Recurrence,https://reporter.nih.gov/project-details/1R43CA206840-01A1,Not specified,Research Grant,Awarded,"$182,850.00",NIH RePORTER,2023
Amelioration of opioid use disorder with heterodyned whole body vibration,https://reporter.nih.gov/project-details/1R42DA060644-01,Not specified,Research Grant,Awarded,"$319,278.00",NIH RePORTER,2023
Amelioration of opioid withdrawal-induced anxiety and craving with heterodyned whole body vibration,https://reporter.nih.gov/project-details/1R41DA053083-01A1,Not specified,Research Grant,Awarded,"$319,976.00",NIH RePORTER,2023
Ductin's Role in Craniofacial Patterning and Development,https://reporter.nih.gov/project-details/5K22DE016633-02,Not specified,Research Grant,Awarded,"$92,331.00",NIH RePORTER,2023
Assessing Airway Smooth Muscle Tone in Asthma with Endobronchial Optical Coherence Tomography,https://reporter.nih.gov/project-details/5K25HL145120-05,Not specified,Research Grant,Awarded,"$189,000.00",NIH RePORTER,2023
Non-rotating nano-optic endoscope for 360 degree in vivo imaging,https://reporter.nih.gov/project-details/1R21EB034798-01A1,Not specified,Research Grant,Awarded,"$647,900.00",NIH RePORTER,2023
TEMPORARY VENTRICULAR ASSISTANCE W/ PORCINE CARDIAC XENOGRAFTS,https://reporter.nih.gov/project-details/5P51RR000168-38,Not specified,Research Grant,Awarded,"$67,011.00",NIH RePORTER,2023
EFFECTS OF HEPARIN ON TRANSPLANTATION ATHEROSCLEROSIS,https://reporter.nih.gov/project-details/1F32HL007514-01,Not specified,Research Grant,Awarded,"$26,004.00",NIH RePORTER,2023
Lymphocyte recruitment in alcoholic hepatitis,https://reporter.nih.gov/project-details/5R01AA014257-03,Not specified,Research Grant,Awarded,"$153,605.00",NIH RePORTER,2023
IONIC BASIS OF EXCITABILITY IN INTRINSIC CARDIAC NEURONS,https://reporter.nih.gov/project-details/5R01HL035422-08,Not specified,Research Grant,Awarded,"$143,642.00",NIH RePORTER,2023
PHARMACEUTICAL RESEARCH,https://reporter.nih.gov/project-details/5P30CA014236-35,Not specified,Research Grant,Awarded,"$165,723.00",NIH RePORTER,2023
PHYSARUM U7 SMALL NUCLEAR RNA,https://reporter.nih.gov/project-details/1R15GM041954-01,Not specified,Research Grant,Awarded,"$102,610.00",NIH RePORTER,2023
PUBLIC HEALTH PREPAREDNESS & RESPONSE FOR H1N1,https://reporter.nih.gov/project-details/1H75TP000339-01,Not specified,Research Grant,Awarded,"$27,606,588.00",NIH RePORTER,2023
ISOLATION OF DNA PROBES FOR FRAGILE X-LINKS,https://reporter.nih.gov/project-details/1R43HD020768-01,Not specified,Research Grant,Awarded,"$50,000.00",NIH RePORTER,2023
"Bridgeway Center, Inc. Housing in Treatmt Pls",https://reporter.nih.gov/project-details/1H79SM059095-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
Phase II Study of Rapamycin for Complicated Vascular Anomalies IND Exempt,https://reporter.nih.gov/project-details/5R01FD003712-03,Not specified,Research Grant,Awarded,"$342,760.00",NIH RePORTER,2023
Phase 2 Study of Vincristine vs. Sirolimus for the Treatment of High Risk Kaposiform Hemangioendothelioma,https://reporter.nih.gov/project-details/1R01FD004363-01A1,Not specified,Research Grant,Awarded,"$258,413.00",NIH RePORTER,2023
IMMUNOTOXICOLOGY:  ENVIRONMENTAL AGENTS AND MACROPHAGES,https://reporter.nih.gov/project-details/5R01ES002922-06,Not specified,Research Grant,Awarded,"$190,121.00",NIH RePORTER,2023
IMMUNOTOXICOLOGY--ENVIRONMENTAL AGENTS AND MACROPHAGES,https://reporter.nih.gov/project-details/5R01ES002922-13,Not specified,Research Grant,Awarded,"$220,201.00",NIH RePORTER,2023
TUMORICIDAL EFFECTS OF MACROPHAGES: PATHOLOGIC STUDY,https://reporter.nih.gov/project-details/5R01CA016784-16,Not specified,Research Grant,Awarded,"$173,717.00",NIH RePORTER,2023
MACROPHAGE ACTIVATION:  DEVELOPMENT AND REGULATION,https://reporter.nih.gov/project-details/5P01CA029589-05,Not specified,Research Grant,Awarded,"$513,969.00",NIH RePORTER,2023
MACROPHAGE ACTIVATION--DEVELOPMENT AND REGULATION,https://reporter.nih.gov/project-details/5P01CA029589-13,Not specified,Research Grant,Awarded,"$1,151,318.00",NIH RePORTER,2023
IMMUNOTOXICOLOGY: ENVIRONMENTAL AGENTS & MACROPHAGES,https://reporter.nih.gov/project-details/5R01ES002922-11,Not specified,Research Grant,Awarded,"$205,209.00",NIH RePORTER,2023
TUMORICIDAL EFFECTS OF MACROPHAGES:  PATHOLOGIC STUDY,https://reporter.nih.gov/project-details/5R01CA016784-11,Not specified,Research Grant,Awarded,"$131,758.00",NIH RePORTER,2023
CORE--MACROPHAGE LABORATORY,https://reporter.nih.gov/project-details/5P30CA014236-13,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
SEQUENTIAL ACTIVATION OF MURINE MONONUCLEAR PHAGOCYTES,https://reporter.nih.gov/project-details/5P01CA029589-05,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
MACROPHAGE ACTIVATION: DEVELOPMENT AND REGULATION,https://reporter.nih.gov/project-details/2P01CA029589-09A1,Not specified,Research Grant,Awarded,"$1,069,681.00",NIH RePORTER,2023
BIOCHEMISTRY CORE LABORATORY,https://reporter.nih.gov/project-details/5P01CA029589-05,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
CLINICAL & HISTOMETRIC CORRELATIONS IN MARGINAL PERIODONTITIS,https://reporter.nih.gov/project-details/2S07RR005336-25,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
PARENTAL COMPETENCY & SELF AWARENESS FOR FEMALE INMATES,https://reporter.nih.gov/project-details/1R15NR004839-01,Not specified,Research Grant,Awarded,"$105,438.00",NIH RePORTER,2023
Project AWARE: FCPS,https://reporter.nih.gov/project-details/1H79SM061965-01,Not specified,Research Grant,Awarded,Not listed,NIH RePORTER,2023
Identification of Genes Regulating Bone Matrix Composition and Quality,https://reporter.nih.gov/project-details/7R01AR070879-03,Not specified,Research Grant,Awarded,"$480,244.00",NIH RePORTER,2023
Nanomechanical Test System for Small Length Scale Biomaterials & Tissue Specimens,https://reporter.nih.gov/project-details/1S10RR028005-01,Not specified,Research Grant,Awarded,"$358,805.00",NIH RePORTER,2023
IN VIVO MICROCT IMAGING AND ANALYSIS SYSTEM FOR RODENTS: BONE BIOLOGY,https://reporter.nih.gov/project-details/1S10RR022383-01,Not specified,Research Grant,Awarded,"$268,730.00",NIH RePORTER,2023
IN VIVO MICROCT IMAGING AND ANALYSIS SYSTEM FOR RODENTS: OSTEOPOROSIS,https://reporter.nih.gov/project-details/1S10RR022383-01,Not specified,Research Grant,Awarded,"$69,800.00",NIH RePORTER,2023
IN VIVO MICROCT IMAGING AND ANALYSIS SYSTEM FOR RODENTS: ORAL & COLON CANCER,https://reporter.nih.gov/project-details/1S10RR022383-01,Not specified,Research Grant,Awarded,"$10,470.00",NIH RePORTER,2023
